"I have been studying English for three years, but I still find speaking difficult.","저는 3년 동안 영어를 공부해왔지만, 아직 말하기는 어렵습니다."
"Could you tell me where the nearest subway station is?","가장 가까운 지하철역이 어디 있는지 알려주실 수 있나요?"
"I was so tired yesterday that I fell asleep as soon as I got home.","저는 어제 너무 피곤해서 집에 도착하자마자 잠들었습니다."
"If I had more free time, I would travel around the world.","제가 자유 시간이 더 많았다면, 세계를 여행했을 텐데요."
"The book that I borrowed from the library is very interesting.","제가 도서관에서 빌린 책은 매우 흥미롭습니다."
"Even though it was raining, we decided to go hiking.","비가 오고 있었지만 우리는 하이킹을 가기로 결정했습니다."
"By the time I arrived at the station, the train had already left.","제가 역에 도착했을 때, 기차는 이미 떠나버렸습니다."
"I can’t remember the name of the person who called me last night.","어젯밤에 저에게 전화를 건 사람의 이름이 기억나지 않습니다."
"We were having dinner when the phone suddenly rang.","우리가 저녁을 먹고 있을 때, 전화가 갑자기 울렸습니다."
"She asked me if I had finished the project, but I hadn’t.","그녀는 제가 프로젝트를 끝냈는지 물어봤지만, 저는 끝내지 못했습니다."
"I am looking forward to meeting new friends at the language exchange.","저는 언어 교환에서 새로운 친구들을 만나기를 기대하고 있습니다."
"It was the first time I had ever visited such a beautiful place.","그렇게 아름다운 곳을 방문한 것은 제가 처음이었습니다."
